Action, Timestamp
Read from Group CSV, 2021.05.06 18:31:12
Read from Series CSV, 2021.05.06 18:31:12
Add Group to list, 2021.05.06 18:31:18
Wrote to Group CSV, 2021.05.06 18:31:18
Add Group to list, 2021.05.06 18:31:19
Wrote to Group CSV, 2021.05.06 18:31:19
Add Series to list, 2021.05.06 18:31:20
Wrote to Series CSV, 2021.05.06 18:31:20
Add Series to list, 2021.05.06 18:31:21
Wrote to Series CSV, 2021.05.06 18:31:21
Print Groups from list, 2021.05.06 18:31:27
Print Series from list, 2021.05.06 18:31:28
Read from Group CSV, 2021.05.06 18:44:29
Read from Series CSV, 2021.05.06 18:44:29
Remove Group from list, 2021.05.06 18:44:38
Remove Group from list, 2021.05.06 18:44:40
Read from Group CSV, 2021.05.06 19:04:55
Read from Series CSV, 2021.05.06 19:04:55
Add Student to list, 2021.05.06 19:05:01
Wrote to Student CSV, 2021.05.06 19:05:01
Add Student to list, 2021.05.06 19:05:06
Wrote to Student CSV, 2021.05.06 19:05:06
Add OptionalSubject to list, 2021.05.06 19:05:12
Wrote to OptionalSubject CSV, 2021.05.06 19:05:12
Add Subject to list, 2021.05.06 19:05:17
Wrote to Subject CSV, 2021.05.06 19:05:17
Read from Student CSV, 2021.05.06 19:07:40
Read from Subject CSV, 2021.05.06 19:07:40
Read from OptionalSubject CSV, 2021.05.06 19:07:40
Read from Group CSV, 2021.05.06 19:07:40
Read from Series CSV, 2021.05.06 19:07:40
Add Professor to list, 2021.05.06 19:07:53
Wrote to Professor CSV, 2021.05.06 19:07:53
Add Student to list, 2021.05.06 19:08:09
Wrote to Student CSV, 2021.05.06 19:08:09
Add Curriculum to list, 2021.05.06 19:08:14
Wrote to Curriculum CSV, 2021.05.06 19:08:14
Add Curriculum to list, 2021.05.06 19:08:22
Wrote to Curriculum CSV, 2021.05.06 19:08:22
Add Subject to list, 2021.05.06 19:08:27
Wrote to Subject CSV, 2021.05.06 19:08:27
Add Subject to list, 2021.05.06 19:08:31
Wrote to Subject CSV, 2021.05.06 19:08:31
Add OptionalSubject to list, 2021.05.06 19:08:38
Wrote to OptionalSubject CSV, 2021.05.06 19:08:38
Add Subject to Student, 2021.05.06 19:09:14
Set Professor to Course of Subject, 2021.05.06 19:09:20
Add Student to Group, 2021.05.06 19:09:24
Set Series to a Group, 2021.05.06 19:09:27
Add Subject to Curriculum, 2021.05.06 19:09:31
Add OptionalSubject to Curriculum, 2021.05.06 19:09:37
Set curriculum to student, 2021.05.06 19:09:51
Print Groups of Series in sorted matter, 2021.05.06 19:10:12
Print Students of Group in sorted matter, 2021.05.06 19:10:18
Print Subjects of Student, 2021.05.06 19:10:23
Print Subjects and OptionalSubjects of Curriculum, 2021.05.06 19:10:29
Print Students from list, 2021.05.06 19:10:47
Print Series from list, 2021.05.06 19:10:48
Print Subjects from list, 2021.05.06 19:10:48
Print Series from list, 2021.05.06 19:10:49
Print OptionalSubjects from list, 2021.05.06 19:10:49
Print Series from list, 2021.05.06 19:10:50
Print Professors from list, 2021.05.06 19:10:51
Print Series from list, 2021.05.06 19:10:51
Print Groups from list, 2021.05.06 19:10:52
Print Series from list, 2021.05.06 19:10:54
Print Curricula from list, 2021.05.06 19:10:55
Remove Group from list, 2021.05.06 19:11:02
Read from Student CSV, 2021.05.06 19:13:12
Read from Professor CSV, 2021.05.06 19:13:12
Read from Subject CSV, 2021.05.06 19:13:12
Read from OptionalSubject CSV, 2021.05.06 19:13:12
Read from Group CSV, 2021.05.06 19:13:12
Read from Series CSV, 2021.05.06 19:13:12
Read from Curriculum CSV, 2021.05.06 19:13:12
Read from Student CSV, 2021.05.06 19:13:32
Read from Professor CSV, 2021.05.06 19:13:32
Read from Subject CSV, 2021.05.06 19:13:32
Read from OptionalSubject CSV, 2021.05.06 19:13:32
Read from Group CSV, 2021.05.06 19:13:32
Read from Series CSV, 2021.05.06 19:13:32
Read from Curriculum CSV, 2021.05.06 19:13:32
Read from Student CSV, 2021.05.06 19:13:44
Read from Professor CSV, 2021.05.06 19:13:44
Read from Subject CSV, 2021.05.06 19:13:44
Read from OptionalSubject CSV, 2021.05.06 19:13:44
Read from Group CSV, 2021.05.06 19:13:44
Read from Series CSV, 2021.05.06 19:13:44
Read from Curriculum CSV, 2021.05.06 19:13:44
